movie_title,content_rating
Hancock ,PG-13
I Am Legend ,PG-13
Charlie and the Chocolate Factory ,PG
Ratatouille ,G
Batman Begins ,PG-13
Madagascar: Escape 2 Africa ,PG
Night at the Museum: Battle of the Smithsonian ,PG
X-Men Origins: Wolverine ,PG-13
The Matrix Revolutions ,R
Frozen ,PG
The Matrix Reloaded ,R
Thor: The Dark World ,PG-13
Mad Max: Fury Road ,R
Angels & Demons ,PG-13
Thor ,PG-13
Bolt ,PG
G-Force ,PG
Wrath of the Titans ,PG-13
Dark Shadows ,PG-13
Mission: Impossible - Rogue Nation ,PG-13
The Wolfman ,R
The Legend of Tarzan ,PG-13
Bee Movie ,PG
Kung Fu Panda 2 ,PG
The Last Airbender ,PG
Mission: Impossible III ,PG-13
White House Down ,PG-13
Mars Needs Moms ,PG
Flushed Away ,PG
Pan ,PG
Mr. Peabody & Sherman ,PG
Troy ,R
Madagascar 3: Europe's Most Wanted ,PG
Die Another Day ,PG-13
Ghostbusters ,PG-13
Armageddon ,PG-13
Men in Black II ,PG-13
Beowulf ,PG-13
Kung Fu Panda 3 ,PG
Mission: Impossible - Ghost Protocol ,PG-13
Rise of the Guardians ,PG
Fun with Dick and Jane ,PG-13
The Last Samurai ,R
Exodus: Gods and Kings ,PG-13
Star Trek ,PG-13
Spider-Man ,PG-13
How to Train Your Dragon 2 ,PG
Gods of Egypt ,PG-13
Stealth ,PG-13
Watchmen ,R
Lethal Weapon 4 ,R
Hulk ,PG-13
G.I. Joe: Retaliation ,PG-13
Sahara ,PG-13
Final Fantasy: The Spirits Within ,PG-13
Captain America: The First Avenger ,PG-13
The World Is Not Enough ,PG-13
Master and Commander: The Far Side of the World ,PG-13
The Twilight Saga: Breaking Dawn - Part 2 ,PG-13
Happy Feet 2 ,PG
The Incredible Hulk ,PG-13
Miami Vice             ,TV-14
The BFG ,PG
The Revenant ,R
Turbo ,PG
Rango ,PG
Penguins of Madagascar ,PG
The Bourne Ultimatum ,PG-13
Kung Fu Panda ,PG
Ant-Man ,PG-13
The Hunger Games: Catching Fire ,PG-13
The Twilight Saga: Breaking Dawn - Part 2 ,PG-13
Home ,PG
War of the Worlds ,PG-13
Bad Boys II ,R
Puss in Boots ,PG
Salt ,PG-13
Noah ,PG-13
The Adventures of Tintin ,PG
Harry Potter and the Prisoner of Azkaban ,PG
Australia ,PG-13
After Earth ,PG-13
Dinosaur ,PG
Harry Potter and the Deathly Hallows: Part II ,
Night at the Museum: Secret of the Tomb ,PG
Megamind ,PG
Harry Potter and the Sorcerer's Stone ,PG
R.I.P.D. ,PG-13
Godzilla Resurgence ,
Pirates of the Caribbean: The Curse of the Black Pearl ,PG-13
Harry Potter and the Deathly Hallows: Part I ,
The Hunger Games: Mockingjay - Part 1 ,PG-13
The Da Vinci Code ,PG-13
Rio 2 ,G
X-Men 2 ,PG-13
Fast Five ,PG-13
Sherlock Holmes: A Game of Shadows ,PG-13
Clash of the Titans ,PG-13
Total Recall ,R
The 13th Warrior ,R
The Bourne Legacy ,PG-13
Batman & Robin ,PG-13
How the Grinch Stole Christmas ,PG
The Day After Tomorrow ,PG-13
Mission: Impossible II ,PG-13
The Perfect Storm ,PG-13
Fantastic 4: Rise of the Silver Surfer ,PG
Life of Pi ,PG
Ghost Rider ,PG-13
Jason Bourne ,PG-13
Charlie's Angels: Full Throttle ,PG-13
Prometheus ,R
Stuart Little 2 ,PG
Elysium ,R
The Chronicles of Riddick ,PG-13
RoboCop ,PG-13
Speed Racer ,PG
How Do You Know ,PG-13
Knight and Day ,PG-13
Oblivion ,PG-13
Star Wars: Episode III - Revenge of the Sith ,PG-13
Star Wars: Episode II - Attack of the Clones ,PG
"Monsters, Inc. ",G
The Wolverine ,PG-13
Star Wars: Episode I - The Phantom Menace ,PG
The Croods ,PG
Asterix at the Olympic Games ,
Windtalkers ,R
The Huntsman: Winter's War ,PG-13
Teenage Mutant Ninja Turtles ,PG-13
Gravity ,PG-13
Dante's Peak ,PG-13
Teenage Mutant Ninja Turtles: Out of the Shadows ,PG-13
Fantastic Four ,PG-13
Night at the Museum ,PG
San Andreas ,PG-13
Tomorrow Never Dies ,PG-13
The Patriot ,R
Ocean's Twelve ,PG-13
Mr. & Mrs. Smith ,PG-13
Insurgent ,PG-13
The Aviator ,PG-13
Gulliver's Travels ,PG
The Green Hornet ,PG-13
The A-Team             ,TV-PG
300: Rise of an Empire ,R
The Smurfs ,PG
Home on the Range ,PG
Allegiant ,PG-13
Real Steel ,PG-13
The Smurfs 2 ,PG
Speed 2: Cruise Control ,PG-13
Ender's Game ,PG-13
Live Free or Die Hard ,PG-13
The Lord of the Rings: The Fellowship of the Ring ,PG-13
Around the World in 80 Days ,PG
Ali ,R
The Cat in the Hat ,PG
"I, Robot ",PG-13
Kingdom of Heaven ,R
Stuart Little ,PG
The Princess and the Frog ,G
The Martian ,PG-13
"10,000 B.C.             ",
The Island ,PG-13
Town & Country ,R
Gone in Sixty Seconds ,PG-13
Gladiator ,R
Minority Report ,PG-13
Harry Potter and the Chamber of Secrets ,PG
Casino Royale ,PG-13
Planet of the Apes ,PG-13
Terminator 2: Judgment Day ,R
Public Enemies ,R
American Gangster ,R
True Lies ,R
The Taking of Pelham 1 2 3 ,R
Little Fockers ,PG-13
The Other Guys ,PG-13
Eraser ,R
Django Unchained ,R
The Hunchback of Notre Dame ,G
The Emperor's New Groove ,G
The Expendables 2 ,R
National Treasure ,PG
Eragon ,PG
Where the Wild Things Are ,PG
Pan ,PG
Epic ,PG
The Tourist ,PG-13
End of Days ,R
Blood Diamond ,R
The Wolf of Wall Street ,R
Batman Forever ,PG-13
Starship Troopers ,R
Cloud Atlas ,R
Legend of the Guardians: The Owls of Ga'Hoole ,PG
Catwoman ,PG-13
Hercules ,PG-13
Treasure Planet ,PG
Land of the Lost ,PG-13
The Expendables 3 ,PG-13
Point Break ,PG-13
Son of the Mask ,PG
In the Heart of the Sea ,PG-13
The Adventures of Pluto Nash ,PG-13
Green Zone ,R
The Peanuts Movie ,G
The Spanish Prisoner ,PG
The Mummy Returns ,PG-13
Gangs of New York ,R
The Flowers of War ,R
Surf's Up ,PG
The Stepford Wives ,PG-13
Black Hawk Down ,R
The Campaign ,R
The Fifth Element ,PG-13
Sex and the City 2 ,R
The Road to El Dorado ,PG
Ice Age: Continental Drift ,PG
Cinderella ,PG
The Lovely Bones ,PG-13
Finding Nemo ,G
The Lord of the Rings: The Return of the King ,PG-13
The Lord of the Rings: The Two Towers ,PG-13
Seventh Son ,PG-13
Lara Croft: Tomb Raider ,PG-13
Transcendence ,PG-13
Jurassic Park III ,PG-13
Rise of the Planet of the Apes ,PG-13
The Spiderwick Chronicles ,PG
A Good Day to Die Hard ,R
The Alamo ,PG-13
The Incredibles ,PG
Cutthroat Island ,PG-13
Percy Jackson & the Olympians: The Lightning Thief ,PG
Men in Black ,PG-13
Toy Story 2 ,G
Unstoppable ,PG-13
Rush Hour 2 ,PG-13
What Lies Beneath ,PG-13
Cloudy with a Chance of Meatballs ,PG
Ice Age: Dawn of the Dinosaurs ,PG
The Secret Life of Walter Mitty ,PG
Charlie's Angels ,PG-13
The Departed ,R
Mulan ,G
Tropic Thunder ,R
The Girl with the Dragon Tattoo ,R
Die Hard with a Vengeance ,R
Sherlock Holmes ,PG-13
Ben-Hur ,PG-13
Atlantis: The Lost Empire ,PG
Alvin and the Chipmunks: The Road Chip ,PG
Valkyrie ,PG-13
You Don't Mess with the Zohan ,PG-13
Pixels ,PG-13
A.I. Artificial Intelligence ,PG-13
The Haunted Mansion ,PG
Contact ,PG
Hollow Man ,R
The Interpreter ,PG-13
Percy Jackson: Sea of Monsters ,PG
Lara Croft Tomb Raider: The Cradle of Life ,PG-13
Now You See Me 2 ,PG-13
The Saint ,PG-13
Spy Game ,R
Mission to Mars ,PG
Rio ,G
Bicentennial Man ,PG
Volcano ,PG-13
The Devil's Own ,R
K-19: The Widowmaker ,PG-13
Fantastic Four ,PG-13
Conan the Barbarian ,R
Cinderella Man ,PG-13
The Nutcracker in 3D ,PG
Seabiscuit ,PG-13
Twister ,PG-13
The Fast and the Furious ,PG-13
Cast Away ,PG-13
Happy Feet ,PG
The Bourne Supremacy ,PG-13
Air Force One ,R
Ocean's Eleven ,PG-13
The Three Musketeers ,PG-13
Hotel Transylvania ,PG
Enchanted ,PG
Hannibal             ,TV-14
Safe House ,R
102 Dalmatians ,G
Tower Heist ,PG-13
The Holiday ,PG-13
Enemy of the State ,R
It's Complicated ,R
Ocean's Thirteen ,PG-13
Open Season ,PG
Divergent ,PG-13
Enemy at the Gates ,R
The Rundown ,PG-13
Last Action Hero ,PG-13
Memoirs of a Geisha ,PG-13
The Fast and the Furious: Tokyo Drift ,PG-13
Arthur Christmas ,PG
Meet Joe Black ,PG-13
Collateral Damage ,R
All That Jazz ,R
Mirror Mirror ,PG
Scott Pilgrim vs. the World ,PG-13
The Core ,PG-13
Nutty Professor II: The Klumps ,PG-13
Scooby-Doo ,PG
Dredd ,R
Click ,PG-13
Creepshow ,R
Cats & Dogs: The Revenge of Kitty Galore ,PG
Jumper ,PG-13
Hellboy II: The Golden Army ,PG-13
Zodiac ,R
The 6th Day ,PG-13
Bruce Almighty ,PG-13
The Expendables ,R
Mission: Impossible ,PG-13
The Hunger Games ,PG-13
The Hangover Part II ,R
Batman Returns ,PG-13
Over the Hedge ,PG
Lilo & Stitch ,PG
Charlotte's Web ,G
Deep Impact ,PG-13
RED 2 ,PG-13
The Longest Yard ,PG-13
Alvin and the Chipmunks: Chipwrecked ,G
Grown Ups 2 ,PG-13
Get Smart ,PG-13
Something's Gotta Give ,PG-13
Shutter Island ,R
Four Christmases ,PG-13
Robots ,PG
Face/Off ,R
Bedtime Stories ,PG
Road to Perdition ,R
Just Go with It ,PG-13
Daredevil             ,TV-MA
Con Air ,R
Eagle Eye ,PG-13
Cold Mountain ,R
The Book of Eli ,R
Flubber ,PG
The Haunting ,PG-13
Space Jam ,PG
The Pink Panther ,PG
The Day the Earth Stood Still ,PG-13
Conspiracy Theory ,R
Fury ,R
Six Days Seven Nights ,PG-13
Yogi Bear ,PG
Spirit: Stallion of the Cimarron ,G
Zookeeper ,PG
Lost in Space ,PG-13
The Manchurian Candidate ,R
Déjà Vu ,PG-13
Hotel Transylvania 2 ,PG
Bewitched             ,TV-G
Fantasia 2000 ,G
The Time Machine ,PG-13
Mighty Joe Young ,PG
Swordfish ,R
The Legend of Zorro ,PG
What Dreams May Come ,PG-13
Little Nicky ,PG-13
The Brothers Grimm ,PG-13
Mars Attacks! ,PG-13
Evolution ,
The Edge ,R
Surrogates ,PG-13
Thirteen Days ,PG-13
Daylight ,PG-13
Walking with Dinosaurs 3D ,PG
Battlefield Earth ,PG-13
Looney Tunes: Back in Action ,PG
Nine ,PG-13
Timeline ,PG-13
The Postman ,R
Babe: Pig in the City ,G
The Last Witch Hunter ,PG-13
Red Planet ,PG-13
Arthur and the Invisibles ,PG
Oceans ,G
A Sound of Thunder ,PG-13
Pompeii ,PG-13
Top Cat Begins ,PG
A Beautiful Mind ,PG-13
The Lion King ,G
Journey 2: The Mysterious Island ,PG
Cloudy with a Chance of Meatballs 2 ,PG
Red Dragon ,R
Hidalgo ,PG-13
Jack and Jill ,PG
2 Fast 2 Furious ,PG-13
The Little Prince ,PG
The Invasion ,PG-13
The Adventures of Rocky & Bullwinkle ,PG
The Secret Life of Pets ,PG
The League of Extraordinary Gentlemen ,PG-13
Despicable Me 2 ,PG
Independence Day ,PG-13
The Lost World: Jurassic Park ,PG-13
Madagascar ,PG
Children of Men ,R
X-Men ,PG-13
Wanted ,R
The Rock ,R
Ice Age: The Meltdown ,PG
50 First Dates ,PG-13
Hairspray ,PG
Exorcist: The Beginning ,R
Inspector Gadget ,PG
Now You See Me ,PG-13
Grown Ups ,PG-13
The Terminal ,PG-13
Constantine             ,TV-14
Hotel for Dogs ,PG
Vertical Limit ,PG-13
Charlie Wilson's War ,R
Shark Tale ,PG
Dreamgirls ,PG-13
Life             ,
Be Cool ,PG-13
Munich ,R
Tears of the Sun ,R
Killers ,PG-13
The Man from U.N.C.L.E. ,PG-13
Spanglish ,PG-13
Monster House ,PG
Bandits ,PG-13
First Knight ,PG-13
Anna and the King ,PG-13
Immortals ,R
Hostage ,R
Titan A.E. ,PG
Hollywood Homicide ,PG-13
Soldier ,R
Carriers ,PG-13
Monkeybone ,PG-13
Flight of the Phoenix ,PG-13
Unbreakable ,PG-13
Minions ,PG
Sucker Punch ,PG-13
Snake Eyes ,R
Sphere ,PG-13
The Angry Birds Movie ,PG
Fool's Gold ,PG-13
Funny People ,R
The Kingdom ,R
Talladega Nights: The Ballad of Ricky Bobby ,PG-13
Dr. Dolittle 2 ,PG
Braveheart ,R
Jarhead ,R
The Simpsons Movie ,PG-13
The Majestic ,PG
Driven ,PG-13
Two Brothers ,PG
The Village ,PG-13
Doctor Dolittle ,PG-13
Signs ,PG-13
Shrek 2 ,PG
Cars ,G
Runaway Bride ,PG
xXx ,PG-13
The SpongeBob Movie: Sponge Out of Water ,PG
Ransom ,R
Inglourious Basterds ,R
Hook ,PG
Hercules ,PG-13
Die Hard 2 ,R
S.W.A.T. ,PG-13
Sleepy Hollow             ,TV-14
Vanilla Sky ,R
Lady in the Water ,PG-13
AVP: Alien vs. Predator ,PG-13
Alvin and the Chipmunks: The Squeakquel ,PG
We Were Soldiers ,R
Olympus Has Fallen ,R
Star Trek: Insurrection ,PG
Battle Los Angeles ,PG-13
Big Fish ,PG-13
Wolf ,R
War Horse ,PG-13
The Monuments Men ,PG-13
The Abyss ,PG-13
Wall Street: Money Never Sleeps ,PG-13
Dracula Untold ,PG-13
The Siege ,R
Stardust ,PG-13
Seven Years in Tibet ,PG-13
The Dilemma ,PG-13
Bad Company ,PG-13
Doom ,R
I Spy ,PG-13
Underworld: Awakening ,R
Rock of Ages ,PG-13
Hart's War ,R
Killer Elite ,R
Rollerball ,R
Ballistic: Ecks vs. Sever ,R
Hard Rain ,R
Osmosis Jones ,PG
Legends of Oz: Dorothy's Return ,PG
Blackhat ,R
Sky Captain and the World of Tomorrow ,PG
Basic Instinct 2 ,R
Escape Plan ,R
The Legend of Hercules ,PG-13
The Sum of All Fears ,PG-13
The Twilight Saga: Eclipse ,PG-13
The Score ,R
Despicable Me ,PG
Money Train ,R
Ted 2 ,R
Agora ,R
Mystery Men ,PG-13
Hall Pass ,R
The Insider ,R
The Finest Hours ,PG-13
Body of Lies ,R
Dinner for Schmucks ,PG-13
Abraham Lincoln: Vampire Hunter ,R
Entrapment ,PG-13
Last Man Standing             ,TV-PG
The X Files ,PG-13
The Last Legion ,PG-13
Saving Private Ryan ,R
Need for Speed ,PG-13
What Women Want ,PG-13
Ice Age ,PG
Dreamcatcher ,R
Lincoln ,PG-13
The Matrix ,R
Apollo 13 ,PG
Total Recall ,R
The Santa Clause 2 ,G
Les Misérables ,PG-13
You've Got Mail ,PG
Step Brothers ,R
The Mask of Zorro ,PG-13
Due Date ,R
Unbroken ,PG-13
Space Cowboys ,PG-13
Cliffhanger ,R
Broken Arrow ,R
The Kid ,PG
World Trade Center ,PG-13
Mona Lisa Smile ,PG-13
The Dictator ,R
Eyes Wide Shut ,R
Annie ,PG
Focus ,R
This Means War ,PG-13
Blade: Trinity ,R
Red Dawn ,PG-13
Primary Colors ,R
Resident Evil: Retribution ,R
Death Race ,R
The Long Kiss Goodnight ,R
Proof of Life ,R
Zathura: A Space Adventure ,PG
Fight Club ,R
We Are Marshall ,PG
The Missing             ,
Hudson Hawk ,R
Lucky Numbers ,R
"I, Frankenstein ",PG-13
Oliver Twist ,PG-13
Elektra ,PG-13
Sin City: A Dame to Kill For ,R
Random Hearts ,R
Everest ,PG-13
Perfume: The Story of a Murderer ,R
Austin Powers in Goldmember ,PG-13
Astro Boy ,PG
Jurassic Park ,PG-13
Wyatt Earp ,PG-13
Clear and Present Danger ,PG-13
Dragon Blade ,R
Littleman ,PG-13
U-571 ,PG-13
The American President ,PG-13
The Love Guru ,PG-13
3000 Miles to Graceland ,R
The Hateful Eight ,R
Blades of Glory ,PG-13
Hop ,PG
300 ,R
Meet the Fockers ,PG-13
Marley & Me ,PG
The Green Mile ,R
Wild Hogs ,PG-13
Chicken Little ,G
Gone Girl ,R
The Bourne Identity ,PG-13
GoldenEye ,PG-13
The General's Daughter ,R
The Truman Show ,PG
The Prince of Egypt ,PG
Daddy Day Care ,PG
2 Guns ,R
Cats & Dogs ,PG
The Italian Job ,PG-13
Two Weeks Notice ,PG-13
Antz ,PG
Couples Retreat ,PG-13
Days of Thunder ,PG-13
Cheaper by the Dozen 2 ,PG
The Scorch Trials ,PG-13
Eat Pray Love ,PG-13
The Family Man ,PG-13
RED ,PG-13
Any Given Sunday ,R
The Horse Whisperer ,PG-13
Collateral ,R
The Scorpion King ,PG-13
Ladder 49 ,PG-13
Jack Reacher ,PG-13
Deep Blue Sea ,R
This Is It ,PG
Contagion ,PG-13
Kangaroo Jack ,PG
Coraline ,PG
The Happening ,R
Man on Fire ,R
The Shaggy Dog ,PG
Starsky & Hutch ,PG-13
Jingle All the Way ,PG
Hellboy ,PG-13
A Civil Action ,PG-13
ParaNorman ,PG
The Jackal ,R
Paycheck ,PG-13
Up Close & Personal ,PG-13
The Tale of Despereaux ,G
Rules of Engagement             ,TV-PG
The Tuxedo ,PG-13
Under Siege 2: Dark Territory ,R
Jack Ryan: Shadow Recruit ,PG-13
Joy ,PG-13
London Has Fallen ,R
Alien: Resurrection ,R
Shooter ,R
The Boxtrolls ,PG
Practical Magic ,PG-13
The Lego Movie ,PG
Miss Congeniality 2: Armed and Fabulous ,PG-13
Reign of Fire ,PG-13
Gangster Squad ,R
Year One ,PG-13
Invictus ,PG-13
State of Play ,PG-13
Duplicity ,PG-13
My Favorite Martian ,PG
The Sentinel ,PG-13
Planet 51 ,PG
Star Trek: Nemesis ,PG-13
Intolerable Cruelty ,PG-13
Trouble with the Curve ,PG-13
Edge of Darkness ,R
The Relic ,R
Analyze That ,R
Righteous Kill ,R
Mercury Rising ,R
The Soloist ,PG-13
The Legend of Bagger Vance ,PG-13
Almost Famous ,R
Garfield 2 ,PG
xXx: State of the Union ,PG-13
Priest ,PG-13
Sinbad: Legend of the Seven Seas ,PG
Event Horizon ,R
The Avengers ,PG-13
Dragonfly ,PG-13
The Black Dahlia ,R
Flyboys ,PG-13
The Last Castle ,R
Supernova ,PG-13
Winter's Tale ,PG-13
The Mortal Instruments: City of Bones ,PG-13
Meet Dave ,PG
Dark Water ,PG-13
Edtv ,PG-13
Inkheart ,PG
The Spirit ,PG-13
Mortdecai ,R
In the Name of the King: A Dungeon Siege Tale ,PG-13
Beyond Borders ,R
Xi you ji zhi: Sun Wukong san da Baigu Jing ,
The Great Raid ,R
Deadpool ,R
Holy Man ,PG
American Sniper ,R
Goosebumps ,PG
"Sabrina, the Teenage Witch             ",TV-G
Just Like Heaven ,PG-13
The Flintstones in Viva Rock Vegas ,PG
Rambo III ,R
Leatherheads ,PG-13
The Ridiculous 6 ,TV-14
Did You Hear About the Morgans? ,PG-13
The Internship ,PG-13
Resident Evil: Afterlife ,R
Red Tails ,PG-13
Sex and the City             ,TV-MA
The Devil's Advocate ,R
That's My Boy ,R
DragonHeart ,PG-13
After the Sunset ,PG-13
Ghost Rider: Spirit of Vengeance ,PG-13
Captain Corelli's Mandolin ,R
Anger Management             ,
The Pacifier ,PG
Walking Tall ,PG-13
Forrest Gump ,PG-13
Alvin and the Chipmunks ,PG
Meet the Parents ,PG-13
Pocahontas ,G
Superman ,PG
The Nutty Professor ,PG-13
Hitch ,PG-13
George of the Jungle ,PG
American Wedding ,R
Captain Phillips ,PG-13
Date Night ,PG-13
Casper ,PG
The Equalizer ,R
Maid in Manhattan ,PG-13
Crimson Tide ,R
The Pursuit of Happyness ,PG-13
Flightplan ,PG-13
Disclosure ,R
City of Angels ,PG-13
Kill Bill: Vol. 1 ,R
Bowfinger ,PG-13
Stargate SG-1             ,TV-14
Kill Bill: Vol. 2 ,R
Tango & Cash ,R
Death Becomes Her ,PG-13
Shanghai Noon ,PG-13
Executive Decision ,R
Mr. Popper's Penguins ,PG
The Forbidden Kingdom ,PG-13
Free Birds ,PG
Alien 3 ,R
Evita ,PG
Ronin ,R
The Ghost and the Darkness ,R
Paddington ,PG
The Watch ,R
The Hunted ,R
Instinct ,R
Stuck on You ,PG-13
Semi-Pro ,R
The Pirates! Band of Misfits ,PG
Changeling ,R
Chain Reaction ,PG-13
The Fan ,R
The Phantom of the Opera ,PG-13
Elizabeth: The Golden Age ,PG-13
Æon Flux ,PG-13
Gods and Generals ,PG-13
Turbulence ,R
Imagine That ,PG
Muppets Most Wanted ,PG
Thunderbirds ,PG
Burlesque ,PG-13
A Very Long Engagement ,R
Lolita ,Not Rated
Eye See You ,R
Blade II ,R
Seven Pounds ,PG-13
Bullet to the Head ,R
The Godfather: Part III ,R
Elizabethtown ,PG-13
"You, Me and Dupree ",PG-13
Superman II ,PG
Gigli ,R
All the King's Men ,PG-13
Shaft ,R
Anastasia ,G
Moulin Rouge! ,PG-13
Domestic Disturbance ,PG-13
Black Mass ,R
Flags of Our Fathers ,R
Law Abiding Citizen ,R
Grindhouse ,R
Beloved ,R
Lucky You ,PG-13
Catch Me If You Can ,PG-13
Zero Dark Thirty ,R
The Break-Up ,PG-13
Mamma Mia! ,PG-13
Valentine's Day ,PG-13
The Dukes of Hazzard ,PG-13
The Thin Red Line ,R
The Change-Up ,R
Man on the Moon ,R
Casino ,R
From Paris with Love ,R
Bulletproof Monk ,PG-13
"Me, Myself & Irene ",R
Barnyard ,PG
Deck the Halls ,PG
The Twilight Saga: New Moon ,PG-13
Shrek ,PG
The Adjustment Bureau ,PG-13
Robin Hood: Prince of Thieves ,PG-13
Jerry Maguire ,R
Ted ,R
As Good as It Gets ,PG-13
Patch Adams ,PG-13
Anchorman 2: The Legend Continues ,PG-13
Mr. Deeds ,PG-13
Super 8 ,PG-13
Erin Brockovich ,R
How to Lose a Guy in 10 Days ,PG-13
22 Jump Street ,R
Interview with the Vampire: The Vampire Chronicles ,R
Yes Man ,PG-13
Central Intelligence ,PG-13
Stepmom ,PG-13
Daddy's Home ,PG-13
Into the Woods ,PG
Inside Man ,R
Payback ,R
Congo ,PG-13
We Bought a Zoo ,PG
Knowing ,PG-13
Failure to Launch ,PG-13
The Ring Two ,PG-13
"Crazy, Stupid, Love. ",PG-13
Garfield ,PG
Christmas with the Kranks ,PG
Moneyball ,PG-13
Outbreak ,R
Non-Stop ,PG-13
Race to Witch Mountain ,PG
V for Vendetta ,R
Shanghai Knights ,PG-13
Unforgotten             ,
Curious George ,G
Herbie Fully Loaded ,G
Don't Say a Word ,R
Hansel & Gretel: Witch Hunters ,R
Unfaithful ,R
I Am Number Four ,PG-13
Syriana ,R
13 Hours ,R
The Book of Life ,PG
Firewall ,PG-13
Absolute Power ,R
G.I. Jane ,R
The Game ,R
Silent Hill ,R
The Replacements ,PG-13
American Reunion ,R
The Negotiator ,R
Into the Storm ,PG-13
Beverly Hills Cop III ,R
Gremlins 2: The New Batch ,PG-13
The Judge ,R
The Peacemaker ,R
Resident Evil: Apocalypse ,R
Bridget Jones: The Edge of Reason ,R
Out of Time ,R
On Deadly Ground ,R
The Adventures of Sharkboy and Lavagirl 3-D ,PG
The Beach ,R
Raising Helen ,PG-13
Ninja Assassin ,R
For Love of the Game ,PG-13
A Touch of Frost             ,
Striptease ,R
Marmaduke ,PG
Hereafter ,PG-13
Murder by Numbers ,R
Assassins ,R
Hannibal Rising ,R
The Story of Us ,R
The Host ,PG-13
Basic ,R
Blood Work ,R
The International ,R
Escape from L.A. ,R
Twisted             ,
The Iron Giant ,PG
The Life Aquatic with Steve Zissou ,R
Free State of Jones ,R
The Life of David Gale ,R
Man of the House ,PG-13
Run All Night ,R
Eastern Promises ,R
Into the Blue ,PG-13
The Messenger: The Story of Joan of Arc ,R
Your Highness ,R
Dream House ,PG-13
Mad City ,PG-13
Baby's Day Out ,PG
The Scarlet Letter ,R
Fair Game ,PG-13
